,hurst_100
2018-03-21,0.48300966031768405
2018-03-22,0.48098593365748205
2018-03-23,0.5152124804087607
2018-03-26,0.5216959903379084
2018-03-27,0.5152333680442976
2018-03-28,0.5146169020681499
2018-04-02,0.48090979905187364
2018-04-03,0.5638760402526795
2018-04-04,0.5633882756293533
2018-04-05,0.567527975345281
2018-04-06,0.5845249788392407
2018-04-09,0.5417102454590533
2018-04-10,0.5305833894482491
2018-04-11,0.4984565000481282
2018-04-12,0.45916375125759434
2018-04-13,0.4517194734917854
2018-04-16,0.4506231392864281
2018-04-17,0.5140939973325562
2018-04-18,0.5079011257984527
2018-04-19,0.5318552229885996
2018-04-20,0.5332108042185146
2018-04-23,0.5218890826070641
2018-04-24,0.5223990856528474
2018-04-25,0.47694218323837306
2018-04-26,0.505299841455265
2018-04-27,0.5053221754630173
2018-04-30,0.486243310828346
2018-05-02,0.5069447536126251
2018-05-03,0.5089335009453806
2018-05-04,0.4897745869307733
2018-05-07,0.4814830791102991
2018-05-08,0.4571408655197712
2018-05-09,0.43933394640638673
2018-05-10,0.42884929148678824
2018-05-11,0.45876517746489504
2018-05-14,0.4543145520626932
2018-05-15,0.4728088636652006
2018-05-16,0.5143251432339976
2018-05-17,0.5243136968227896
2018-05-18,0.5241330147869123
2018-05-21,0.5161373950778366
2018-05-22,0.481002628650207
2018-05-23,0.44474537943574843
2018-05-24,0.4219569015170716
2018-05-25,0.46359153048477547
2018-05-28,0.46858067594667085
2018-05-29,0.448449938855936
2018-05-30,0.48137314065064696
2018-05-31,0.46845003572527794
2018-06-01,0.4598663573724002
2018-06-04,0.4729861109736837
2018-06-05,0.463268040341951
2018-06-06,0.4649985268275269
2018-06-07,0.47405005453306653
2018-06-08,0.5175075408453161
2018-06-11,0.530999585335809
2018-06-12,0.5091499233034105
2018-06-13,0.5203117536284277
2018-06-14,0.5136763984925565
2018-06-15,0.5008866725040978
2018-06-18,0.49901842939796787
2018-06-19,0.4959157308232985
2018-06-20,0.5112884147394422
2018-06-21,0.49317781570033736
2018-06-22,0.5476790107758651
2018-06-25,0.556871610960756
2018-06-26,0.5542440894291032
2018-06-27,0.5222014437229412
2018-06-28,0.5291408360216695
2018-06-29,0.5026270390908137
2018-07-02,0.427504573737368
2018-07-03,0.42164968961985905
2018-07-04,0.4466989887224975
2018-07-05,0.41570527746964947
2018-07-06,0.4585878398902726
2018-07-09,0.4515374374467879
2018-07-10,0.43362496305446985
2018-07-11,0.4755247980781945
2018-07-12,0.5004353990148832
2018-07-13,0.5197766880495526
2018-07-16,0.5039224810861976
2018-07-17,0.49393203615621495
2018-07-18,0.5022479031763035
2018-07-19,0.5013570933788494
2018-07-20,0.5411478104317455
2018-07-23,0.5647044785105954
2018-07-24,0.5709030824616101
2018-07-25,0.5981194342363637
2018-07-26,0.6082765482484318
2018-07-27,0.5710318213628301
2018-07-30,0.5718447323124498
2018-07-31,0.5652896697253517
2018-08-01,0.5487738428664206
2018-08-02,0.5284995882707669
2018-08-03,0.6107725902109483
2018-08-06,0.6533772576968802
2018-08-07,0.6699644122469113
2018-08-08,0.6705139734491365
2018-08-09,0.7006529020019657
2018-08-10,0.6794654409332879
2018-08-13,0.6631065215318341
2018-08-14,0.6286323506653532
2018-08-16,0.6412551768545951
2018-08-17,0.6446588422384767
2018-08-20,0.6721705902529751
2018-08-21,0.7204068985713138
2018-08-23,0.7024831428049177
2018-08-24,0.6810691187878841
2018-08-27,0.6792965955025435
2018-08-28,0.650060138977796
2018-08-29,0.5598563993170117
2018-08-30,0.5375823834195295
2018-08-31,0.5311628017891116
2018-09-03,0.5124425530660774
2018-09-04,0.5626558518527109
2018-09-05,0.6010147172057734
2018-09-06,0.5970370645352662
2018-09-07,0.5982182714902987
2018-09-10,0.5818463739071713
2018-09-11,0.5409270323567078
2018-09-12,0.5175915186926504
2018-09-14,0.5324818459930974
2018-09-17,0.5470583079973176
2018-09-18,0.5511758318350295
2018-09-19,0.5888612648655019
2018-09-21,0.6234701483514405
2018-09-24,0.6045211161720879
2018-09-25,0.5916127352195478
2018-09-26,0.5798304868908002
2018-09-27,0.5484928230919871
2018-09-28,0.5360103620257729
2018-10-01,0.5225485066510451
2018-10-03,0.5345473625253909
2018-10-04,0.5435676865939392
2018-10-05,0.604005299129724
2018-10-08,0.6386296949479092
2018-10-09,0.6514937784145377
2018-10-10,0.629219898052706
2018-10-11,0.6207890095742379
2018-10-12,0.5881390858659333
2018-10-15,0.5598414068079615
2018-10-16,0.5311829566731492
2018-10-17,0.5491041715523677
2018-10-19,0.5827186467220593
2018-10-22,0.6377237883139372
2018-10-23,0.6417142847541507
2018-10-24,0.6589471264212085
2018-10-25,0.6315424330828269
2018-10-26,0.6151216607082084
2018-10-29,0.5986499108601787
2018-10-30,0.5773367638550938
2018-10-31,0.581044968236333
2018-11-01,0.583504997701415
2018-11-02,0.6349425993511092
2018-11-05,0.6711251467940232
2018-11-06,0.6977505028324342
2018-11-07,0.6954248284664791
2018-11-09,0.6757747993428502
2018-11-12,0.6438850046893516
2018-11-13,0.5979587646203225
2018-11-14,0.6031092065004718
2018-11-15,0.5983844394828667
2018-11-16,0.6134235815320692
2018-11-19,0.6217700320512635
2018-11-20,0.6392787747367674
2018-11-21,0.656006271324347
2018-11-22,0.6437856117433566
2018-11-26,0.6180546214999951
2018-11-27,0.6203337113889866
2018-11-28,0.5766158814589472
2018-11-29,0.5718718040740971
2018-11-30,0.5290276310313404
2018-12-03,0.5497534793184626
2018-12-04,0.5582775661469992
2018-12-05,0.586640209470505
2018-12-06,0.5808589097999373
2018-12-07,0.5617274443927694
2018-12-10,0.5658519840267074
2018-12-11,0.5893697152972696
2018-12-12,0.5850036077643914
2018-12-13,0.5810921584358262
2018-12-14,0.5456994288167181
2018-12-17,0.5634189624116226
2018-12-18,0.5669646869712972
2018-12-19,0.5931555692082477
2018-12-20,0.6136605203391252
2018-12-21,0.6124662382686068
2018-12-24,0.6116413574913236
2018-12-26,0.5880703509160282
2018-12-27,0.5874064539598114
2018-12-28,0.6229182596852392
2018-12-31,0.6198437671165788
2019-01-02,0.6304165190991574
2019-01-03,0.6379573039139925
2019-01-04,0.6470923791927058
2019-01-07,0.6452479358936413
2019-01-08,0.6292991407032326
2019-01-09,0.6304333189292506
2019-01-10,0.6196399205559734
2019-01-11,0.6160478263127304
2019-01-14,0.6141008066850547
2019-01-15,0.6015965301386615
2019-01-16,0.634739915480156
2019-01-17,0.6344086063660045
2019-01-18,0.6477656995862536
2019-01-21,0.642150223743162
2019-01-22,0.6435634933463891
2019-01-23,0.6480988488544036
2019-01-24,0.6474099888319291
2019-01-25,0.6401749975485115
2019-01-28,0.639860330716238
2019-01-29,0.6210947755294837
2019-01-30,0.6178015794087772
2019-01-31,0.6267009257196332
2019-02-01,0.6071840149988194
2019-02-04,0.5915504660775651
2019-02-05,0.5975323238699856
2019-02-06,0.5946112549281222
2019-02-07,0.580342844547941
2019-02-08,0.56394324762987
2019-02-11,0.588816350238786
2019-02-12,0.5589580550013535
2019-02-14,0.5494739608249926
2019-02-15,0.5286303194940295
2019-02-18,0.4968587858901399
2019-02-19,0.468759735597443
2019-02-20,0.43374251116787715
2019-02-21,0.42080759896979797
2019-02-22,0.4030990103448341
2019-02-25,0.39759382422189665
2019-02-26,0.4334000128752907
2019-02-27,0.41275106082595275
2019-02-28,0.4086833091690224
2019-03-01,0.418293208255929
2019-03-05,0.446115351700398
2019-03-06,0.4657909595997491
2019-03-07,0.4449118405258505
2019-03-08,0.4725008729872596
2019-03-11,0.45425229862640054
2019-03-12,0.4819508838405267
2019-03-13,0.5538798085015529
2019-03-14,0.5372539555411121
2019-03-15,0.5432266623447921
2019-03-18,0.5508493048095082
2019-03-19,0.5629825507666624
2019-03-20,0.5685881877026238
2019-03-22,0.5669270337539263
2019-03-25,0.5961137791033548
2019-03-26,0.595412809249963
2019-03-27,0.603552466082453
2019-03-28,0.5781779784767931
2019-04-01,0.5585151507804136
2019-04-02,0.4953364796024812
2019-04-03,0.4797560107020647
2019-04-04,0.4245524399162946
2019-04-05,0.388833308408536
2019-04-08,0.3790428034947913
2019-04-09,0.41157118355123334
2019-04-10,0.38861484646691574
2019-04-11,0.4155555138813097
2019-04-12,0.4441678119767674
2019-04-15,0.4307769013802525
2019-04-16,0.44358008901838986
2019-04-18,0.44801254654614747
2019-04-22,0.45970415069851184
2019-04-23,0.44545405158972334
2019-04-24,0.44494772982360925
2019-04-25,0.4763055087919508
2019-04-26,0.46822521197595335
2019-04-30,0.4896972171456489
2019-05-02,0.5191449034404185
2019-05-03,0.5191718616121966
2019-05-06,0.48983609498594277
2019-05-07,0.4556710900541798
2019-05-08,0.45770100498641536
2019-05-09,0.41853121883286143
2019-05-10,0.42031042191015233
2019-05-13,0.447769211558042
2019-05-14,0.44041123271065025
2019-05-15,0.41837625225571323
2019-05-16,0.43026898821033654
2019-05-17,0.4509679086155908
2019-05-20,0.4388302016000461
2019-05-21,0.4392678062455169
2019-05-22,0.4746926733622317
2019-05-23,0.4630798036084719
2019-05-24,0.4537081910274424
2019-05-27,0.5109741775753615
2019-05-28,0.5257902515056884
2019-05-29,0.5357466500350355
2019-05-30,0.5394527295871843
2019-05-31,0.5532278573680672
2019-06-03,0.5335873391554787
2019-06-04,0.5371904398124286
2019-06-06,0.5498662309519821
2019-06-07,0.525281343887451
2019-06-10,0.5326097870530149
2019-06-11,0.5776000030007684
2019-06-12,0.5742591515845262
2019-06-13,0.5828728158168279
2019-06-14,0.6118726503893762
2019-06-17,0.6242119943733072
2019-06-18,0.6116782802757088
2019-06-19,0.5799523603846736
2019-06-20,0.6012895380351533
2019-06-21,0.5832026535685545
2019-06-24,0.564442610048115
2019-06-25,0.5908753522642297
2019-06-26,0.5623714108334978
2019-06-27,0.5531161964688679
2019-06-28,0.5689493628942038
2019-07-01,0.6014943651216759
2019-07-02,0.5865883101040115
2019-07-03,0.5626800341047761
2019-07-04,0.592356163829589
2019-07-05,0.5849377913794475
2019-07-08,0.5768626039415753
2019-07-09,0.6024365878459578
2019-07-10,0.5978898639027992
2019-07-11,0.5978610035581335
2019-07-12,0.6144868141699775
2019-07-15,0.6503203212202414
2019-07-16,0.639627649687768
2019-07-17,0.5989373460217081
2019-07-18,0.5955814267427539
2019-07-19,0.5634868982209802
2019-07-22,0.5503598250346617
2019-07-23,0.4872036487436445
2019-07-24,0.45554511104065337
2019-07-25,0.44907562024845527
2019-07-26,0.45404826499345446
2019-07-29,0.4998159499302389
2019-07-30,0.5099118395375064
2019-07-31,0.46209758788838573
2019-08-01,0.4492379542743016
2019-08-02,0.39558869554468884
2019-08-05,0.41076010532971996
2019-08-06,0.46612004239578825
2019-08-07,0.4613914712282942
2019-08-08,0.46522532453511795
2019-08-09,0.4826820330552266
2019-08-13,0.5154226936034964
2019-08-14,0.4875951923490319
2019-08-16,0.4556766467136566
2019-08-19,0.44747589232148505
2019-08-20,0.44366128945234135
2019-08-21,0.44995596529705395
2019-08-22,0.44512756642147827
2019-08-23,0.4701197270672196
2019-08-26,0.4863284601805958
2019-08-27,0.47452359133715294
2019-08-28,0.5267175735186852
2019-08-29,0.5199338041706643
2019-08-30,0.49256971726360305
2019-09-03,0.4884893450097885
2019-09-04,0.4916118890772924
2019-09-05,0.511369580134092
2019-09-06,0.5055974985420911
2019-09-09,0.4839076923177068
2019-09-11,0.46607233959116373
2019-09-12,0.4668358335318778
2019-09-13,0.47869627690451155
2019-09-16,0.48367251697592994
2019-09-17,0.4546808495940372
2019-09-18,0.46472957727879544
2019-09-19,0.4794495589231684
2019-09-20,0.5081145826210657
2019-09-23,0.455752210841361
2019-09-24,0.4141406382348677
2019-09-25,0.39921001936270634
2019-09-26,0.40002150139676884
2019-09-27,0.4197985076596723
2019-09-30,0.43537506872238346
2019-10-01,0.4167344510050867
2019-10-03,0.43210624459545155
2019-10-04,0.4452674702600292
2019-10-07,0.45043909324458814
2019-10-09,0.48647329824587304
2019-10-10,0.45892686229811025
2019-10-11,0.4791057137382512
2019-10-14,0.475016085537124
2019-10-15,0.5052481169996302
2019-10-16,0.5316269728833124
2019-10-17,0.5375295583991724
2019-10-18,0.5213678731582834
2019-10-22,0.514814663511943
2019-10-23,0.5089165070302396
2019-10-24,0.5356593222803628
2019-10-25,0.5186063425908453
2019-10-29,0.5228349728834775
2019-10-30,0.5345522595691152
2019-10-31,0.544917087754885
2019-11-01,0.5627987419009484
2019-11-04,0.5444470995126152
2019-11-05,0.5201685209830086
2019-11-06,0.495350369249897
2019-11-07,0.496872123498777
2019-11-08,0.4980613850159822
2019-11-11,0.48757236994499287
2019-11-13,0.49547088040491344
2019-11-14,0.4917567869515468
