,Target,Predicted,Sample,Open,Close,DVT_STD,Buy_and_Hold,Close_Portfolio,Signal,Position,Portfolio_Value
2013-10-04,1,1,Train,5891.2998046875,5907.2998046875,109.63665201501011,112.3883434537017,5907.2998046875,1,1.0,148.9186045862415
2013-10-07,1,1,Train,5889.0498046875,5906.14990234375,90.05771868634272,112.36646617917347,5906.14990234375,1,1.0,148.88961640922267
2013-10-08,1,1,Train,5975.0,5928.39990234375,77.97511341296467,112.78977982915288,5928.39990234375,1,1.0,149.45052224803155
2013-10-09,1,1,Train,5893.25,6007.4501953125,82.40427751863336,114.29373794369413,6007.4501953125,1,1.0,151.44332093952485
2013-10-10,1,1,Train,6001.0498046875,6020.9501953125,87.11980895330291,114.55057993356925,6020.9501953125,1,1.0,151.78364583048756
2013-10-11,1,1,Train,6104.85009765625,6096.2001953125,96.68255305661268,115.98223621046589,6096.2001953125,1,1.0,153.68064198196484
2013-10-14,0,0,Train,6093.0,6112.7001953125,105.35720699324412,116.29615419809105,6112.7001953125,0,0.0,154.0965946264748
2013-10-15,1,0,Train,6147.5498046875,6089.0498046875,109.48583993004284,115.84619765072443,6089.0498046875,0,0.0,154.0965946264748
2013-10-17,1,0,Train,6098.5,6045.85009765625,110.0516394806148,115.02430885695189,6045.85009765625,0,0.0,154.0965946264748
2013-10-18,0,0,Train,6070.89990234375,6189.35009765625,121.92600195339428,117.75444408266173,6189.35009765625,0,0.0,154.0965946264748
2013-10-21,0,0,Train,6202.0,6204.9501953125,129.2919042792888,118.05124112890452,6204.9501953125,0,0.0,154.0965946264748
2013-10-22,0,0,Train,6192.2998046875,6202.7998046875,139.51029665890405,118.0103292320798,6202.7998046875,0,0.0,154.0965946264748
2013-10-23,0,0,Train,6209.5498046875,6178.35009765625,145.0038641405227,117.54516542424494,6178.35009765625,0,0.0,154.0965946264748
2013-10-24,0,0,Train,6162.7998046875,6164.35009765625,148.1077821852993,117.27881076807813,6164.35009765625,0,0.0,154.0965946264748
2013-10-25,1,0,Train,6154.0,6144.89990234375,148.02961893222616,116.90876433344681,6144.89990234375,0,0.0,154.0965946264748
2013-10-28,1,0,Train,6155.10009765625,6101.10009765625,145.6165643191316,116.07545848218163,6101.10009765625,0,0.0,154.0965946264748
2013-10-29,0,0,Train,6107.5498046875,6220.89990234375,144.1309689103951,118.35468960978095,6220.89990234375,0,0.0,154.0965946264748
2013-10-30,0,0,Train,6230.7998046875,6251.7001953125,130.95060347476448,118.94067542717586,6251.7001953125,0,0.0,154.0965946264748
2013-10-31,0,0,Train,6237.14990234375,6299.14990234375,120.86304314735932,119.8434218844276,6299.14990234375,0,0.0,154.0965946264748
2013-11-01,-1,0,Train,6289.75,6307.2001953125,120.76739615273384,119.99658138555142,6307.2001953125,0,0.0,154.0965946264748
2013-11-05,-1,0,Train,6282.14990234375,6253.14990234375,113.40439970810058,118.9682565855938,6253.14990234375,0,0.0,154.0965946264748
2013-11-06,-1,0,Train,6260.5498046875,6215.14990234375,100.7515122206402,118.24529394742673,6215.14990234375,0,0.0,154.0965946264748
2013-11-07,-1,0,Train,6228.89990234375,6187.25,86.12298865330428,117.71448902629406,6187.25,0,0.0,154.0965946264748
2013-11-08,-1,1,Train,6170.14990234375,6140.75,78.10379591805226,116.82981106116858,6140.75,1,1.0,154.0965946264748
2013-11-11,1,1,Train,6110.39990234375,6078.7998046875,73.15768901204981,115.65118799174516,6078.7998046875,1,1.0,152.5420102297641
2013-11-12,1,1,Train,6087.25,6018.0498046875,79.36581172555617,114.49539903730704,6018.0498046875,1,1.0,151.01754365425487
2013-11-13,1,1,Train,5998.85009765625,5989.60009765625,88.33268151418541,113.9541338991388,5989.60009765625,1,1.0,150.3036238608035
2013-11-14,1,1,Train,6037.0,6056.14990234375,90.09307383562836,115.22026606667507,6056.14990234375,1,1.0,151.97363131516994
2013-11-18,-1,1,Train,6111.0498046875,6189.0,85.93023184725786,117.74778335831493,6189.0,1,1.0,155.30738495187924
2013-11-19,-1,1,Train,6197.25,6203.35009765625,86.15603440766486,118.02079873882853,6203.35009765625,1,1.0,155.66748773759525
2013-11-20,0,1,Train,6186.85009765625,6122.89990234375,86.37410558416519,116.49020701661325,6122.89990234375,1,1.0,153.64866249072946
2013-11-21,1,1,Train,6096.5,5999.0498046875,93.55139094290332,114.1339177182235,5999.0498046875,1,1.0,150.54075575409558
2013-11-22,1,1,Train,6027.35009765625,5995.4501953125,99.97500365300333,114.065433952694,5995.4501953125,1,1.0,150.45042679644823
2013-11-25,1,1,Train,6035.9501953125,6115.35009765625,100.12508486022648,116.34656947149429,6115.35009765625,1,1.0,153.45920693685758
2013-11-26,1,1,Train,6099.25,6059.10009765625,101.9265760830192,115.2763945136812,6059.10009765625,1,1.0,152.04766381138606
2013-11-27,1,1,Train,6062.7001953125,6057.10009765625,103.2798350687422,115.2383438485145,6057.10009765625,1,1.0,151.9974756113693
2013-11-28,1,1,Train,6092.0,6091.85009765625,101.84650961238724,115.8994741557857,6091.85009765625,1,1.0,152.8694955866606
2013-11-29,0,1,Train,6103.89990234375,6176.10009765625,98.49862105448264,117.50235842593241,6176.10009765625,1,1.0,154.98367351236683
2013-12-02,1,1,Train,6171.14990234375,6217.85009765625,92.54960030478398,118.29666606128701,6217.85009765625,1,1.0,156.0313521877168
2013-12-03,1,1,Train,6204.25,6201.85009765625,84.17241071780293,117.99226073995352,6201.85009765625,1,1.0,155.62984658758268
2013-12-04,1,1,Train,6187.9501953125,6160.9501953125,78.75393435128223,117.2141264952374,6160.9501953125,1,1.0,154.60350034783553
